Item;Código de item;Nome do produto;Descrição química;Grau de Etoxilação;Grupo de Família;Família de Produtos;Peso Molecular;Data inicial do estudo;Tipo de estudo;Ensaios físico-químicos;ensaio_normalizado;categoria_ensaio;is_quantitativo;Método;Especificação;spec_tipo;spec_min;spec_max;periodo;valor;is_menor_que;periodo_dias
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;0 dia;216.38;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;1 sem;218.6;False;7
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;2 sem;223.2;False;14
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;1m;220.1;False;30
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;2m;219.4;False;60
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;3m;220.77;False;90
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;3m;219.13;False;90
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;4m;221.94;False;120
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;5m;218.96;False;150
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;6m;215.87;False;180
